;03.543.447/0001-03;07.861.554/0001-22;08.070.841/0001-87;08.246.318/0001-69;08.266.261/0001-60;09.635.172/0001-06;10.740.670/0001-06;11.061.217/0001-28;11.182.064/0001-77;11.328.882/0001-35;11.392.165/0001-72;11.458.144/0001-02;14.386.926/0001-71;14.508.605/0001-00;14.550.994/0001-24;15.486.093/0001-83;17.138.474/0001-05;20.139.595/0001-78;21.838.150/0001-49;23.215.097/0001-55;24.571.992/0001-75;25.078.994/0001-90;28.206.220/0001-95;29.258.294/0001-38;34.791.108/0001-61;35.002.482/0001-01;35.292.588/0001-89;37.308.394/0001-50;38.001.966/0001-16;40.190.534/0001-42;42.813.674/0001-55;46.134.096/0001-81;63.375.216/0001-51
2022-12-01;5992127814,39;644197013,7;2044068777,47;210360260,36;184119234,08;240533055,6;6004596258,6;508641585,34;1212893064,04;6391612684,47;1012532026,02;149820604,41;7511731203,56;1008608937,0;345044396,72;3699955948,9;2711259829,78;3210795850,23;2289276974,35;5141740431,25;1910518448,88;nan;258853928,97;1027069149,84;442097242,11;225590904,58;3146747275,43;288422413,81;62375004,94;12481935,04;128583610,56;432269432,94;66965180,39
2022-12-02;5990990379,15;645904769,83;2050799595,48;207814663,25;184589666,02;241921706,67;5993264335,6;509765142,83;1225196909,73;6432177102,58;1020196573,21;151075046,72;7501174176,31;1014352878,8;348075445,5;3699970990,06;2722739338,03;3218104954,84;2261401634,29;5146356817,06;1919823059,93;nan;259274253,53;1037034396,98;445426385,61;225279351,91;3153855790,21;285337011,73;63119091,38;12592824,63;129047248,95;433801554,78;67547615,79
2022-12-05;5999343132,03;640737080,78;2037936106,5;207364060,33;181483111,22;235870011,28;5990328838,31;508604638,95;1196933192,23;6710239869,81;994385174,18;147580139,24;7493115804,57;1012193451,57;341075994,55;3707102235,45;2718873572,33;3219117062,61;2253084211,32;5143405100,7;1862191795,01;nan;259297909,59;1012468189,86;434525305,6;220523060,95;3146791131,42;290871351,01;63641154,93;12504015,18;128080041,19;432127724,95;65910046,68
2022-12-06;6013411976,56;638037242,18;2036384230,27;207091027,21;180779085,89;236934287,83;5999380842,36;507947338,49;1203561266,49;6724395001,49;989788264,98;148276267,41;7475655977,87;1014929982,15;343140302,0;3707007729,93;2682147595,8;3223404092,25;2244543115,08;5147350895,07;1878676313,45;nan;259743579,08;1020878097,46;432570006,89;216481439,74;3141437902,24;287880469,71;62320388,19;12297387,09;128410113,93;431877450,71;66537777,63
2022-12-07;6039409131,66;638185278,11;2030637021,67;207333287,17;181044655,95;234923271,87;6157047245,28;506785136,78;1200544216,4;6713353149,28;988823117,58;146756216,34;7477343738,18;1012482887,25;338615011,57;3705062787,72;2691053361,09;3231031598,55;2250098030,13;5150668201,58;1854539293,62;nan;260411134,5;1011879246,89;432377870,37;215239777,37;3121182907,39;281666565,64;60498497,25;12072049,0;128094104,84;432958178,26;67549615,53
2022-12-08;6039262529,53;636174000,96;2018489960,06;207271486,82;180841535,01;230347205,12;6177685658,62;501655486,83;1173000965,27;6668233740,33;976605496,27;144303637,27;7466628258,84;1014453837,79;333421668,2;3704323644,01;2699671754,22;3235687472,58;2252790269,63;5141390941,61;1832141125,52;nan;258229296,84;994043263,22;427156211,3;218040914,82;3119581139,89;282524987,26;60609598,26;12131201,94;127474316,88;434702574,01;65201801,92
2022-12-09;6021173243,69;634497028,45;2013479389,86;207143762,05;180278183,17;230049116,36;6201824970,81;501335717,29;1171232321,63;6480468159,63;974975054,75;144455317,71;7453599263,25;1014605131,52;334870193,37;3701683696,41;2688932661,88;3233156663,56;2251227552,58;5142938023,32;1840516625,58;nan;261779596,26;996887330,55;426445175,54;217465237,58;3117758465,72;286114361,39;61744921,49;12032455,32;127629370,98;433568102,9;65314989,9
2022-12-12;6009167885,84;631031008,3;1997141447,9;205682384,17;179293118,84;226157366,52;6221917260,73;497028312,61;1149107350,7;6494230779,99;963359758,69;141568698,3;7408470834,58;1011417838,57;328005316,88;3701184175,37;2690095594,96;3224528607,62;2239672944,97;5131345512,29;1821999742,85;nan;266156410,51;974269976,61;421386471,75;220598612,57;6817388907,76;290009812,93;62115428,62;12383501,02;126846044,17;432524416,53;64247621,27
2022-12-13;5954909098,44;629431337,24;1985050615,99;205433962,18;178835463,13;222393815,08;6248305297,56;496349992,99;1120303223,02;6471216815,11;954234398,22;139178610,21;7383683805,01;1007967831,76;322966929,39;3703321872,86;2680418367,48;3222079862,76;2231398623,86;5125672453,73;1794003355,06;nan;267746502,71;958768563,56;417483812,74;224201646,54;6806005616,32;297172564,1;62239864,92;12481909,52;126135215,55;431247250,06;62855243,29
2022-12-14;5949460278,1;626894786,54;1973139157,8;204675470,46;178784573,2;223302832,53;6270785061,23;495914181,98;1123688531,22;6504885632,75;964410261,04;139454380,46;7353875632,66;1005595666,05;325079147,51;3704606117,5;2712346632,72;3221552191,89;2189004429,28;5130704864,17;1813552864,77;nan;268962907,17;958022781,63;421995789,73;223319435,15;6794706756,46;292300835,24;63592598,62;12422548,73;126327234,81;437815803,13;63149996,61
2022-12-15;5910692233,56;626705546,34;1974891219,63;205046610,22;179027317,46;223430481,08;6347415882,66;497352595,7;1126160029,42;6542576609,03;967203850,97;139321489,81;7349376101,37;1007539746,1;327386837,5;3710049247,01;2704752791,02;3226122119,63;2190417567,63;5136736087,15;1816403379,68;nan;277143706,85;959781025,63;423351415,58;215212710,1;6802346664,82;288184077,78;63193187,97;12192702,26;126220385,95;467774105,65;63284332,91
2022-12-16;5904518029,03;623364250,47;1963340861,7;204779951,39;178451003,88;220687567,19;6378806260,46;496036637,08;1129672159,02;6588605570,52;959809032,33;121773562,2;7328459071,52;1008485480,7;324886630,58;3717539249,47;2700361464,85;3228490822,81;2190348531,6;5131418300,19;1801895037,01;nan;279113222,23;951800666,08;419870808,23;212328675,43;6791548821,42;281070079,53;61366335,63;12114222,61;126093377,38;467088179,65;63080379,3
2022-12-19;5902986071,59;621721459,13;1965216550,93;204829854,62;178225532,67;224727403,46;6411023278,94;495517508,46;1145788017,96;6535989516,5;973648601,87;124018668,09;7271859540,27;1008561453,62;329831940,11;3718791082,96;2670658265,19;3259521785,34;2172245235,19;5170928634,6;1843153824,1;nan;279301086,78;945752065,72;426528544,94;209028444,87;6791588228,62;281653770,59;61101088,78;11981904,59;126757262,82;468722274,62;64032844,15
2022-12-20;5823913786,4;623045682,28;1973598893,56;205459864,7;179066543,59;229005697,74;6404969613,83;497094648,3;1166752075,23;6301791767,34;989193694,89;126408086,41;7292147705,5;1007467300,26;336411891,43;3722977477,51;2676088059,38;3269098081,74;2174385263,24;5176910369,28;1890167449,8;nan;280550312,23;964773857,5;433035986,25;209078655,64;6812679708,62;274363940,78;59106319,05;11866502,83;127556259,55;472935067,8;65182373,67
2022-12-21;5827086785,86;622762733,69;1974615161,17;205566895,29;178006672,74;229758068,9;6516464513,35;497367599,29;1169928818,15;6034275968,82;991407880,1;126830422,66;6996123957,1;1018710490,12;338126845,14;3726346071,06;2680098896,53;3271057911,0;2176563382,16;5136981880,86;1896841364,59;nan;280769865,97;968977836,98;434097533,04;211401981,38;6800298802,16;276612351,79;59224795,68;11927431,35;127791136,21;473453979,12;65596603,68
2022-12-22;5571195597,2;624754576,98;1971854904,16;205465105,13;178431547,0;230145411,94;6551945915,93;497767709,04;1175242960,62;6065636578,63;994339971,04;126773696,09;6990801476,29;1015435003,38;335804612,39;3727728623,27;2632014408,98;3273141434,05;2177700866,88;5148825519,86;1893026772,02;nan;282785233,36;971314086,49;435444101,03;207901551,62;6806613283,96;275722620,01;59821159,53;11778295,24;127902401,36;475470815,85;65811550,1
2022-12-23;5581772952,76;626809612,22;1967753010,26;205967883,66;158748777,94;232847139,25;6566705037,94;498738513,36;1200050142,92;6114142273,69;1009940077,87;129358352,52;6996896299,86;1018107244,23;342195676,58;3725032039,74;2635953878,1;3277240324,9;2179609851,81;5141020560,66;1937050260,36;nan;286995681,54;986424215,09;442121168,84;208261852,69;6820995661,72;273770043,76;58586852,95;11794072,21;128808989,46;481153446,63;66810511,48
2022-12-26;5569826151,42;627021318,32;1961400324,12;205990007,89;158782828,82;230142865,4;6541106441,16;498875897,5;1194247395,71;6081486541,6;997614598,94;128073773,36;6976969832,87;1017463744,98;339528261,75;3730701200,73;2636351817,45;3281970024,33;2180471177,45;5141746097,14;1872732047,62;nan;287280739,9;979538119,23;437084488,71;208208637,09;6813592600,04;275718791,04;58990889,78;11726911,4;128463561,55;481253528,65;66027937,83
2022-12-27;5576300561,27;627743005,11;1959970468,62;202118777,88;158832436,83;228923031,33;6644996614,04;493955958,86;1188923022,05;5987633951,3;987309965,63;127589945,5;6946898347,66;1017911187,45;337906044,16;3731583040,04;2647174966,31;3281669102,07;2181459569,28;5139851082,9;1874874554,76;nan;290520572,46;978050484,36;432729712,0;208156535,55;6765147779,57;280954551,36;59798424,52;12079910,11;128437475,15;481504804,59;65951353,81
2022-12-28;5593064548,17;630903838,61;1966068619,79;202768345,25;159740537,14;232186884,4;6585516826,6;495278417,57;1209030148,05;6307416634,65;999629065,49;129599532,59;6893632227,46;1016600547,83;344525250,31;3741302414,64;2686079442,18;3291754913,54;2186062857,32;5135288061,82;1902213150,0;nan;293490019,48;992417517,41;438377049,82;205268119,66;6773514242,96;279660115,57;59465531,1;11929556,15;129158591,16;483652994,72;66995311,08
2022-12-29;5609585808,69;640113241,1;1965587576,04;201394390,44;159828429,95;231451122,39;6554390657,61;495502490,07;1212657954,3;6378538645,25;999389830,12;128906453,65;6890239008,78;1017614190,68;343172193,26;3743300764,77;2683265174,03;3306318551,35;2188560845,51;5290067611,08;1889333747,87;nan;297429746,11;987031730,2;438403441,02;210637333,46;6792638393,63;281319227,55;58808588,0;12102136,55;128945736,24;486168536,44;66824421,12
2022-12-30;5613586065,55;640688864,31;1966376241,03;201487904,45;159896640,66;231442019,87;6557713378,25;495727244,82;1212570725,68;6516931621,39;999511078,28;128904238,36;6893208496,34;1018108144,6;343144362,04;3745902538,43;2684723806,11;3307767205,35;2189575950,42;5292657963,96;1879797625,43;nan;297590265,38;987099652,68;438422312,64;209850376,32;6757838619,84;281338875,6;59961635,45;12100529,56;128998626,49;486374222,31;66739895,57
